50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	0,0,0	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0
0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	0,0,0	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	0,0,0	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255	50,255.0,255
0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255	50,250.75,255
50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	0,0,0	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	0,0,0	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	0,0,0	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255	50,246.5,255
0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	50,225.25,255	0,0,0	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	0,0,0	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255	50,225.25,255
0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255	50,216.75,255
50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	50,199.75,255	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0
50,127.5,255	0,0,0	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	0,0,0	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	50,127.5,255	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0
50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	0,0,0	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	0,0,0	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	0,0,0	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255	50,119.0,255
0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0
